sample	samples	TP53
TCGA-29-1702-01	TCGA-29-1702-01	13.89
TCGA-AJ-A2QM-01	TCGA-AJ-A2QM-01	13.73
TCGA-61-2012-01	TCGA-61-2012-01	13.21
TCGA-B5-A1MU-01	TCGA-B5-A1MU-01	13.17
TCGA-20-1684-01	TCGA-20-1684-01	13.04
TCGA-24-1428-01	TCGA-24-1428-01	13.01
TCGA-D1-A3DH-01	TCGA-D1-A3DH-01	13
TCGA-10-0928-01	TCGA-10-0928-01	12.97
TCGA-24-2281-01	TCGA-24-2281-01	12.95
TCGA-34-5929-01	TCGA-34-5929-01	12.94
TCGA-61-1740-01	TCGA-61-1740-01	12.9
TCGA-FA-A7Q1-01	TCGA-FA-A7Q1-01	12.86
TCGA-85-7950-01	TCGA-85-7950-01	12.83
TCGA-LN-A49V-01	TCGA-LN-A49V-01	12.81
TCGA-DM-A28M-01	TCGA-DM-A28M-01	12.79
TCGA-ZB-A966-01	TCGA-ZB-A966-01	12.78
TCGA-EO-A3B1-01	TCGA-EO-A3B1-01	12.75
TCGA-FI-A2D6-01	TCGA-FI-A2D6-01	12.74
TCGA-09-1670-01	TCGA-09-1670-01	12.73
TCGA-25-2393-01	TCGA-25-2393-01	12.73
TCGA-AX-A1CA-01	TCGA-AX-A1CA-01	12.73
TCGA-25-1324-01	TCGA-25-1324-01	12.72
TCGA-AJ-A3EM-01	TCGA-AJ-A3EM-01	12.72
TCGA-AX-A1C4-01	TCGA-AX-A1C4-01	12.71
TCGA-EI-6511-01	TCGA-EI-6511-01	12.71
TCGA-60-2716-01	TCGA-60-2716-01	12.69
TCGA-CI-6623-01	TCGA-CI-6623-01	12.69
TCGA-D1-A0ZS-01	TCGA-D1-A0ZS-01	12.66
TCGA-QK-A6IF-01	TCGA-QK-A6IF-01	12.66
TCGA-33-4587-01	TCGA-33-4587-01	12.64
TCGA-AP-A0LE-01	TCGA-AP-A0LE-01	12.64
TCGA-31-1950-01	TCGA-31-1950-01	12.61
TCGA-AG-3887-01	TCGA-AG-3887-01	12.61
TCGA-AP-A0LF-01	TCGA-AP-A0LF-01	12.61
TCGA-B6-A0WX-01	TCGA-B6-A0WX-01	12.61
TCGA-24-2024-01	TCGA-24-2024-01	12.59
TCGA-A1-A0SK-01	TCGA-A1-A0SK-01	12.59
TCGA-A6-2681-01	TCGA-A6-2681-01	12.58
TCGA-CD-8534-01	TCGA-CD-8534-01	12.58
TCGA-D1-A1O0-01	TCGA-D1-A1O0-01	12.58
TCGA-XF-AAML-01	TCGA-XF-AAML-01	12.57
TCGA-23-2077-01	TCGA-23-2077-01	12.56
TCGA-CR-6487-01	TCGA-CR-6487-01	12.56
TCGA-22-5485-01	TCGA-22-5485-01	12.55
TCGA-36-1578-01	TCGA-36-1578-01	12.55
TCGA-D3-A3C6-06	TCGA-D3-A3C6-06	12.55
TCGA-V4-A9EA-01	TCGA-V4-A9EA-01	12.54
TCGA-43-7658-01	TCGA-43-7658-01	12.53
TCGA-A5-A7WK-01	TCGA-A5-A7WK-01	12.53
TCGA-AG-3728-01	TCGA-AG-3728-01	12.53
TCGA-D1-A167-01	TCGA-D1-A167-01	12.53
TCGA-N8-A4PL-01	TCGA-N8-A4PL-01	12.52
TCGA-29-1698-01	TCGA-29-1698-01	12.51
TCGA-CG-5722-01	TCGA-CG-5722-01	12.51
TCGA-N6-A4VC-01	TCGA-N6-A4VC-01	12.51
TCGA-61-1741-01	TCGA-61-1741-01	12.5
TCGA-AA-A01R-01	TCGA-AA-A01R-01	12.5
TCGA-N5-A4RS-01	TCGA-N5-A4RS-01	12.5
TCGA-AR-A24Q-01	TCGA-AR-A24Q-01	12.49
TCGA-18-5595-01	TCGA-18-5595-01	12.47
TCGA-66-2755-01	TCGA-66-2755-01	12.46
TCGA-BF-A1PU-01	TCGA-BF-A1PU-01	12.46
TCGA-V4-A9EY-01	TCGA-V4-A9EY-01	12.46
TCGA-EY-A1GO-01	TCGA-EY-A1GO-01	12.45
TCGA-EY-A215-01	TCGA-EY-A215-01	12.45
TCGA-XV-A9VZ-01	TCGA-XV-A9VZ-01	12.45
TCGA-24-1551-01	TCGA-24-1551-01	12.44
TCGA-61-2092-01	TCGA-61-2092-01	12.44
TCGA-AG-3896-01	TCGA-AG-3896-01	12.44
TCGA-DB-5277-01	TCGA-DB-5277-01	12.44
TCGA-G4-6628-01	TCGA-G4-6628-01	12.44
TCGA-AP-A05H-01	TCGA-AP-A05H-01	12.43
TCGA-09-2048-01	TCGA-09-2048-01	12.42
TCGA-BT-A20W-01	TCGA-BT-A20W-01	12.42
TCGA-FU-A3TX-01	TCGA-FU-A3TX-01	12.42
TCGA-OL-A5D7-01	TCGA-OL-A5D7-01	12.42
TCGA-D1-A16V-01	TCGA-D1-A16V-01	12.41
TCGA-AA-A01T-01	TCGA-AA-A01T-01	12.39
TCGA-FI-A2EY-01	TCGA-FI-A2EY-01	12.39
TCGA-26-5132-01	TCGA-26-5132-01	12.38
TCGA-B5-A0JU-01	TCGA-B5-A0JU-01	12.38
TCGA-D1-A179-01	TCGA-D1-A179-01	12.38
TCGA-DC-5869-01	TCGA-DC-5869-01	12.38
TCGA-KP-A3W3-01	TCGA-KP-A3W3-01	12.38
TCGA-AA-A02R-01	TCGA-AA-A02R-01	12.37
TCGA-AB-2984-03	TCGA-AB-2984-03	12.37
TCGA-36-1580-01	TCGA-36-1580-01	12.36
TCGA-A7-A4SE-01	TCGA-A7-A4SE-01	12.36
TCGA-25-1313-01	TCGA-25-1313-01	12.35
TCGA-AP-A0LD-01	TCGA-AP-A0LD-01	12.35
TCGA-BG-A187-01	TCGA-BG-A187-01	12.35
TCGA-EO-A2CG-01	TCGA-EO-A2CG-01	12.35
TCGA-61-1725-01	TCGA-61-1725-01	12.34
TCGA-94-7943-01	TCGA-94-7943-01	12.34
TCGA-E2-A15O-01	TCGA-E2-A15O-01	12.34
TCGA-13-0800-01	TCGA-13-0800-01	12.33
TCGA-18-3410-01	TCGA-18-3410-01	12.33
TCGA-DK-A1AC-01	TCGA-DK-A1AC-01	12.33
TCGA-22-5480-01	TCGA-22-5480-01	12.32
TCGA-24-2023-01	TCGA-24-2023-01	12.32
TCGA-29-1778-01	TCGA-29-1778-01	12.32
TCGA-96-A4JL-01	TCGA-96-A4JL-01	12.32
TCGA-AC-A6IW-01	TCGA-AC-A6IW-01	12.32
TCGA-BB-4225-01	TCGA-BB-4225-01	12.32
TCGA-OL-A6VO-01	TCGA-OL-A6VO-01	12.32
TCGA-VQ-A91S-01	TCGA-VQ-A91S-01	12.32
TCGA-13-1511-01	TCGA-13-1511-01	12.31
TCGA-29-1695-01	TCGA-29-1695-01	12.31
TCGA-29-1697-01	TCGA-29-1697-01	12.31
TCGA-AC-A2QH-01	TCGA-AC-A2QH-01	12.31
TCGA-DC-6157-01	TCGA-DC-6157-01	12.31
TCGA-AA-3968-01	TCGA-AA-3968-01	12.3
TCGA-BG-A2AD-01	TCGA-BG-A2AD-01	12.3
TCGA-BR-A4QL-01	TCGA-BR-A4QL-01	12.3
TCGA-EE-A17Z-06	TCGA-EE-A17Z-06	12.3
TCGA-N5-A4RO-01	TCGA-N5-A4RO-01	12.3
TCGA-06-1804-01	TCGA-06-1804-01	12.29
TCGA-25-1632-01	TCGA-25-1632-01	12.29
TCGA-A5-A0GH-01	TCGA-A5-A0GH-01	12.29
TCGA-AG-A016-01	TCGA-AG-A016-01	12.29
TCGA-AX-A05Z-01	TCGA-AX-A05Z-01	12.29
TCGA-CV-7414-01	TCGA-CV-7414-01	12.29
TCGA-EA-A556-01	TCGA-EA-A556-01	12.29
TCGA-EY-A1GC-01	TCGA-EY-A1GC-01	12.29
TCGA-IG-A8O2-01	TCGA-IG-A8O2-01	12.29
TCGA-13-0913-01	TCGA-13-0913-01	12.28
TCGA-AA-3531-01	TCGA-AA-3531-01	12.28
TCGA-CM-6678-01	TCGA-CM-6678-01	12.28
TCGA-CM-6677-01	TCGA-CM-6677-01	12.27
TCGA-CR-6467-01	TCGA-CR-6467-01	12.27
TCGA-25-2404-01	TCGA-25-2404-01	12.26
TCGA-CF-A47W-01	TCGA-CF-A47W-01	12.26
TCGA-EE-A182-06	TCGA-EE-A182-06	12.26
TCGA-24-1419-01	TCGA-24-1419-01	12.25
TCGA-A6-5662-01	TCGA-A6-5662-01	12.25
TCGA-09-1673-01	TCGA-09-1673-01	12.24
TCGA-66-2794-01	TCGA-66-2794-01	12.24
TCGA-98-8023-01	TCGA-98-8023-01	12.24
TCGA-A5-A0GE-01	TCGA-A5-A0GE-01	12.24
TCGA-EY-A1GQ-01	TCGA-EY-A1GQ-01	12.24
TCGA-GD-A3OS-01	TCGA-GD-A3OS-01	12.24
TCGA-S3-AA0Z-01	TCGA-S3-AA0Z-01	12.24
TCGA-AA-3527-01	TCGA-AA-3527-01	12.23
TCGA-AP-A05P-01	TCGA-AP-A05P-01	12.23
TCGA-BH-A204-01	TCGA-BH-A204-01	12.23
TCGA-BS-A0VI-01	TCGA-BS-A0VI-01	12.23
TCGA-EY-A3L3-01	TCGA-EY-A3L3-01	12.23
TCGA-24-1467-01	TCGA-24-1467-01	12.22
TCGA-3H-AB3X-01	TCGA-3H-AB3X-01	12.22
TCGA-AG-3882-01	TCGA-AG-3882-01	12.22
TCGA-BB-4228-01	TCGA-BB-4228-01	12.22
TCGA-BR-7717-01	TCGA-BR-7717-01	12.22
TCGA-D1-A17D-01	TCGA-D1-A17D-01	12.22
TCGA-33-4583-01	TCGA-33-4583-01	12.21
TCGA-AP-A0LO-01	TCGA-AP-A0LO-01	12.21
TCGA-D1-A15V-01	TCGA-D1-A15V-01	12.21
TCGA-IG-A3QL-01	TCGA-IG-A3QL-01	12.21
TCGA-22-5481-01	TCGA-22-5481-01	12.2
TCGA-24-1552-01	TCGA-24-1552-01	12.2
TCGA-29-1703-01	TCGA-29-1703-01	12.2
TCGA-49-4514-01	TCGA-49-4514-01	12.2
TCGA-AO-A129-01	TCGA-AO-A129-01	12.2
TCGA-C8-A27B-01	TCGA-C8-A27B-01	12.2
TCGA-FI-A2D4-01	TCGA-FI-A2D4-01	12.2
TCGA-NH-A50T-01	TCGA-NH-A50T-01	12.2
TCGA-CM-5349-01	TCGA-CM-5349-01	12.19
TCGA-DK-A1AE-01	TCGA-DK-A1AE-01	12.19
TCGA-GS-A9TQ-01	TCGA-GS-A9TQ-01	12.19
TCGA-VS-A8QA-01	TCGA-VS-A8QA-01	12.19
TCGA-23-1109-01	TCGA-23-1109-01	12.18
TCGA-A5-A0GI-01	TCGA-A5-A0GI-01	12.18
TCGA-AP-A0LT-01	TCGA-AP-A0LT-01	12.18
TCGA-BH-A18T-01	TCGA-BH-A18T-01	12.18
TCGA-DX-A2IZ-01	TCGA-DX-A2IZ-01	12.18
TCGA-33-4532-01	TCGA-33-4532-01	12.17
TCGA-3U-A98F-01	TCGA-3U-A98F-01	12.17
TCGA-CK-4952-01	TCGA-CK-4952-01	12.17
TCGA-F4-6854-01	TCGA-F4-6854-01	12.17
TCGA-N8-A4PI-01	TCGA-N8-A4PI-01	12.17
TCGA-UD-AABZ-01	TCGA-UD-AABZ-01	12.17
TCGA-91-8499-01	TCGA-91-8499-01	12.16
TCGA-A2-A0SX-01	TCGA-A2-A0SX-01	12.16
TCGA-AR-A251-01	TCGA-AR-A251-01	12.16
TCGA-AX-A05U-01	TCGA-AX-A05U-01	12.16
TCGA-CV-6940-01	TCGA-CV-6940-01	12.16
TCGA-D1-A16Y-01	TCGA-D1-A16Y-01	12.16
TCGA-EW-A1P8-01	TCGA-EW-A1P8-01	12.16
TCGA-EY-A3QX-01	TCGA-EY-A3QX-01	12.16
TCGA-19-5960-01	TCGA-19-5960-01	12.15
TCGA-24-1558-01	TCGA-24-1558-01	12.15
TCGA-29-1770-01	TCGA-29-1770-01	12.15
TCGA-AG-3583-01	TCGA-AG-3583-01	12.15
TCGA-85-6798-01	TCGA-85-6798-01	12.14
TCGA-AP-A0LV-01	TCGA-AP-A0LV-01	12.14
TCGA-B5-A0JX-01	TCGA-B5-A0JX-01	12.14
TCGA-BT-A0S7-01	TCGA-BT-A0S7-01	12.14
TCGA-E2-A1LI-01	TCGA-E2-A1LI-01	12.14
TCGA-AP-A1E4-01	TCGA-AP-A1E4-01	12.13
TCGA-B6-A0X0-01	TCGA-B6-A0X0-01	12.13
TCGA-D1-A163-01	TCGA-D1-A163-01	12.13
TCGA-EW-A1P4-01	TCGA-EW-A1P4-01	12.13
TCGA-25-1328-01	TCGA-25-1328-01	12.12
TCGA-25-2396-01	TCGA-25-2396-01	12.12
TCGA-43-6770-01	TCGA-43-6770-01	12.12
TCGA-AG-3592-01	TCGA-AG-3592-01	12.12
TCGA-AW-A1PO-01	TCGA-AW-A1PO-01	12.12
TCGA-DI-A2QU-01	TCGA-DI-A2QU-01	12.12
TCGA-A1-A0SB-01	TCGA-A1-A0SB-01	12.11
TCGA-A6-5660-01	TCGA-A6-5660-01	12.11
TCGA-AP-A0LG-01	TCGA-AP-A0LG-01	12.11
TCGA-B5-A1MW-01	TCGA-B5-A1MW-01	12.11
TCGA-BH-A0B9-01	TCGA-BH-A0B9-01	12.11
TCGA-BT-A20U-01	TCGA-BT-A20U-01	12.11
TCGA-CQ-6219-01	TCGA-CQ-6219-01	12.11
TCGA-CR-6470-01	TCGA-CR-6470-01	12.11
TCGA-E9-A3QA-01	TCGA-E9-A3QA-01	12.11
TCGA-AX-A2H4-01	TCGA-AX-A2H4-01	12.1
TCGA-B5-A3FB-01	TCGA-B5-A3FB-01	12.1
TCGA-BG-A0YV-01	TCGA-BG-A0YV-01	12.1
TCGA-E6-A1M0-01	TCGA-E6-A1M0-01	12.1
TCGA-04-1348-01	TCGA-04-1348-01	12.09
TCGA-CR-5243-01	TCGA-CR-5243-01	12.09
TCGA-D1-A16Q-01	TCGA-D1-A16Q-01	12.09
TCGA-D1-A2G6-01	TCGA-D1-A2G6-01	12.09
TCGA-G4-6317-02	TCGA-G4-6317-02	12.09
TCGA-AG-A036-01	TCGA-AG-A036-01	12.08
TCGA-D7-8573-01	TCGA-D7-8573-01	12.08
TCGA-DC-6681-01	TCGA-DC-6681-01	12.08
TCGA-V4-A9EZ-01	TCGA-V4-A9EZ-01	12.08
TCGA-WC-A882-01	TCGA-WC-A882-01	12.08
TCGA-29-1763-01	TCGA-29-1763-01	12.07
TCGA-A6-6141-01	TCGA-A6-6141-01	12.07
TCGA-AX-A05T-01	TCGA-AX-A05T-01	12.07
TCGA-EE-A29B-06	TCGA-EE-A29B-06	12.07
TCGA-FI-A2F8-01	TCGA-FI-A2F8-01	12.07
TCGA-24-1469-01	TCGA-24-1469-01	12.06
TCGA-61-2000-01	TCGA-61-2000-01	12.06
TCGA-AA-3526-01	TCGA-AA-3526-01	12.06
TCGA-AX-A3GI-01	TCGA-AX-A3GI-01	12.06
TCGA-BR-8077-01	TCGA-BR-8077-01	12.06
TCGA-DI-A0WH-01	TCGA-DI-A0WH-01	12.06
TCGA-EI-6512-01	TCGA-EI-6512-01	12.06
TCGA-MJ-A850-01	TCGA-MJ-A850-01	12.06
TCGA-24-2254-01	TCGA-24-2254-01	12.05
TCGA-90-7767-01	TCGA-90-7767-01	12.05
TCGA-A2-A3XU-01	TCGA-A2-A3XU-01	12.05
TCGA-AA-3518-01	TCGA-AA-3518-01	12.05
TCGA-B5-A1MZ-01	TCGA-B5-A1MZ-01	12.05
TCGA-BR-A4QI-01	TCGA-BR-A4QI-01	12.05
TCGA-CK-6747-01	TCGA-CK-6747-01	12.05
TCGA-EY-A212-01	TCGA-EY-A212-01	12.05
TCGA-EY-A2OP-01	TCGA-EY-A2OP-01	12.05
TCGA-G4-6588-01	TCGA-G4-6588-01	12.05
TCGA-33-4538-01	TCGA-33-4538-01	12.04
TCGA-AG-A020-01	TCGA-AG-A020-01	12.04
TCGA-AR-A0TU-01	TCGA-AR-A0TU-01	12.04
TCGA-V4-A9F8-01	TCGA-V4-A9F8-01	12.04
TCGA-W5-AA2X-01	TCGA-W5-AA2X-01	12.04
TCGA-66-2757-01	TCGA-66-2757-01	12.03
TCGA-95-7043-01	TCGA-95-7043-01	12.03
TCGA-A2-A04T-01	TCGA-A2-A04T-01	12.03
TCGA-A2-A3XX-01	TCGA-A2-A3XX-01	12.03
TCGA-AA-3488-01	TCGA-AA-3488-01	12.03
TCGA-AP-A059-01	TCGA-AP-A059-01	12.03
TCGA-AX-A3G4-01	TCGA-AX-A3G4-01	12.03
TCGA-FF-A7CX-01	TCGA-FF-A7CX-01	12.03
TCGA-SC-A6LM-01	TCGA-SC-A6LM-01	12.03
TCGA-VR-A8Q7-01	TCGA-VR-A8Q7-01	12.03
TCGA-A5-A0GA-01	TCGA-A5-A0GA-01	12.02
TCGA-A6-6653-01	TCGA-A6-6653-01	12.02
TCGA-AA-3973-01	TCGA-AA-3973-01	12.02
TCGA-AG-A02G-01	TCGA-AG-A02G-01	12.02
TCGA-AP-A0LN-01	TCGA-AP-A0LN-01	12.02
TCGA-AX-A060-01	TCGA-AX-A060-01	12.02
TCGA-AX-A06L-01	TCGA-AX-A06L-01	12.02
TCGA-B5-A0JV-01	TCGA-B5-A0JV-01	12.02
TCGA-DI-A2QY-01	TCGA-DI-A2QY-01	12.02
TCGA-DK-AA75-01	TCGA-DK-AA75-01	12.02
TCGA-F5-6812-01	TCGA-F5-6812-01	12.02
TCGA-FS-A1ZC-06	TCGA-FS-A1ZC-06	12.02
TCGA-G5-6572-01	TCGA-G5-6572-01	12.02
TCGA-MA-AA3W-01	TCGA-MA-AA3W-01	12.02
TCGA-UD-AAC4-01	TCGA-UD-AAC4-01	12.02
TCGA-VR-A8EO-01	TCGA-VR-A8EO-01	12.02
TCGA-WK-A8XT-01	TCGA-WK-A8XT-01	12.02
TCGA-2G-AAM4-01	TCGA-2G-AAM4-01	12.01
TCGA-57-1582-01	TCGA-57-1582-01	12.01
TCGA-78-7158-01	TCGA-78-7158-01	12.01
TCGA-A5-A0GM-01	TCGA-A5-A0GM-01	12.01
TCGA-AA-A01X-01	TCGA-AA-A01X-01	12.01
TCGA-BA-5153-01	TCGA-BA-5153-01	12.01
TCGA-CL-5917-01	TCGA-CL-5917-01	12.01
TCGA-D1-A175-01	TCGA-D1-A175-01	12.01
TCGA-D3-A1Q1-06	TCGA-D3-A1Q1-06	12.01
TCGA-KP-A3VZ-01	TCGA-KP-A3VZ-01	12.01
TCGA-LN-A4A5-01	TCGA-LN-A4A5-01	12.01
TCGA-MY-A913-01	TCGA-MY-A913-01	12.01
TCGA-A1-A0SO-01	TCGA-A1-A0SO-01	12
TCGA-AG-3600-01	TCGA-AG-3600-01	12
TCGA-AP-A056-01	TCGA-AP-A056-01	12
TCGA-AP-A3K1-01	TCGA-AP-A3K1-01	12
TCGA-AY-A69D-01	TCGA-AY-A69D-01	12
TCGA-04-1519-01	TCGA-04-1519-01	11.99
TCGA-25-1623-01	TCGA-25-1623-01	11.99
TCGA-A5-A0GB-01	TCGA-A5-A0GB-01	11.99
TCGA-A5-A1OK-01	TCGA-A5-A1OK-01	11.99
TCGA-AP-A1DR-01	TCGA-AP-A1DR-01	11.99
TCGA-B6-A0IJ-01	TCGA-B6-A0IJ-01	11.99
TCGA-BG-A0M4-01	TCGA-BG-A0M4-01	11.99
TCGA-BG-A0MA-01	TCGA-BG-A0MA-01	11.99
TCGA-BR-A4QM-01	TCGA-BR-A4QM-01	11.99
TCGA-D1-A168-01	TCGA-D1-A168-01	11.99
TCGA-DM-A28K-01	TCGA-DM-A28K-01	11.99
TCGA-EO-A22S-01	TCGA-EO-A22S-01	11.99
TCGA-GS-A9TT-01	TCGA-GS-A9TT-01	11.99
TCGA-LP-A7HU-01	TCGA-LP-A7HU-01	11.99
TCGA-21-1072-01	TCGA-21-1072-01	11.98
TCGA-56-8082-01	TCGA-56-8082-01	11.98
TCGA-77-A5GF-01	TCGA-77-A5GF-01	11.98
TCGA-AA-A02O-01	TCGA-AA-A02O-01	11.98
TCGA-AG-A025-01	TCGA-AG-A025-01	11.98
TCGA-AJ-A3EL-01	TCGA-AJ-A3EL-01	11.98
TCGA-AP-A0LJ-01	TCGA-AP-A0LJ-01	11.98
TCGA-B5-A0JN-01	TCGA-B5-A0JN-01	11.98
TCGA-CI-6624-01	TCGA-CI-6624-01	11.98
TCGA-D3-A51K-06	TCGA-D3-A51K-06	11.98
TCGA-D5-6530-01	TCGA-D5-6530-01	11.98
TCGA-ZJ-A8QO-01	TCGA-ZJ-A8QO-01	11.98
TCGA-A2-A259-01	TCGA-A2-A259-01	11.97
TCGA-AA-3679-01	TCGA-AA-3679-01	11.97
TCGA-BA-A4IF-01	TCGA-BA-A4IF-01	11.97
TCGA-BG-A0M3-01	TCGA-BG-A0M3-01	11.97
TCGA-BH-A0AV-01	TCGA-BH-A0AV-01	11.97
TCGA-CV-6935-01	TCGA-CV-6935-01	11.97
TCGA-EB-A5SF-01	TCGA-EB-A5SF-01	11.97
TCGA-F4-6460-01	TCGA-F4-6460-01	11.97
TCGA-F4-6569-01	TCGA-F4-6569-01	11.97
TCGA-FR-A8YD-06	TCGA-FR-A8YD-06	11.97
TCGA-18-5592-01	TCGA-18-5592-01	11.96
TCGA-23-1026-01	TCGA-23-1026-01	11.96
TCGA-25-1315-01	TCGA-25-1315-01	11.96
TCGA-25-2398-01	TCGA-25-2398-01	11.96
TCGA-29-A5NZ-01	TCGA-29-A5NZ-01	11.96
TCGA-A5-A2K7-01	TCGA-A5-A2K7-01	11.96
TCGA-AJ-A3TW-01	TCGA-AJ-A3TW-01	11.96
TCGA-AX-A05W-01	TCGA-AX-A05W-01	11.96
TCGA-BA-5555-01	TCGA-BA-5555-01	11.96
TCGA-BF-A5ER-01	TCGA-BF-A5ER-01	11.96
TCGA-BG-A0MG-01	TCGA-BG-A0MG-01	11.96
TCGA-BG-A0VX-01	TCGA-BG-A0VX-01	11.96
TCGA-EE-A3AB-06	TCGA-EE-A3AB-06	11.96
TCGA-34-7107-01	TCGA-34-7107-01	11.95
TCGA-AA-A01Q-01	TCGA-AA-A01Q-01	11.95
TCGA-AC-A5XU-01	TCGA-AC-A5XU-01	11.95
TCGA-AG-A008-01	TCGA-AG-A008-01	11.95
TCGA-AL-A5DJ-01	TCGA-AL-A5DJ-01	11.95
TCGA-AO-A1KP-01	TCGA-AO-A1KP-01	11.95
TCGA-CM-4748-01	TCGA-CM-4748-01	11.95
TCGA-D1-A17N-01	TCGA-D1-A17N-01	11.95
TCGA-G4-6625-01	TCGA-G4-6625-01	11.95
TCGA-77-6843-01	TCGA-77-6843-01	11.94
TCGA-A5-A1OG-01	TCGA-A5-A1OG-01	11.94
TCGA-AJ-A3BK-01	TCGA-AJ-A3BK-01	11.94
TCGA-B5-A11F-01	TCGA-B5-A11F-01	11.94
TCGA-BS-A0UJ-01	TCGA-BS-A0UJ-01	11.94
TCGA-CF-A47T-01	TCGA-CF-A47T-01	11.94
TCGA-CN-6018-01	TCGA-CN-6018-01	11.94
TCGA-D1-A17A-01	TCGA-D1-A17A-01	11.94
TCGA-FW-A3TU-06	TCGA-FW-A3TU-06	11.94
TCGA-MZ-A5BI-01	TCGA-MZ-A5BI-01	11.94
TCGA-23-1122-01	TCGA-23-1122-01	11.93
TCGA-25-1627-01	TCGA-25-1627-01	11.93
TCGA-A5-A0VO-01	TCGA-A5-A0VO-01	11.93
TCGA-AA-3675-01	TCGA-AA-3675-01	11.93
TCGA-AJ-A23N-01	TCGA-AJ-A23N-01	11.93
TCGA-BB-4223-01	TCGA-BB-4223-01	11.93
TCGA-CV-6962-01	TCGA-CV-6962-01	11.93
TCGA-ER-A19D-06	TCGA-ER-A19D-06	11.93
TCGA-VQ-A924-01	TCGA-VQ-A924-01	11.93
TCGA-Z6-A9VB-01	TCGA-Z6-A9VB-01	11.93
TCGA-2G-AAGS-01	TCGA-2G-AAGS-01	11.92
TCGA-43-7657-01	TCGA-43-7657-01	11.92
TCGA-59-2352-01	TCGA-59-2352-01	11.92
TCGA-77-7140-01	TCGA-77-7140-01	11.92
TCGA-85-8277-01	TCGA-85-8277-01	11.92
TCGA-AX-A0J0-01	TCGA-AX-A0J0-01	11.92
TCGA-AX-A1CJ-01	TCGA-AX-A1CJ-01	11.92
TCGA-CK-4947-01	TCGA-CK-4947-01	11.92
TCGA-CR-7402-01	TCGA-CR-7402-01	11.92
TCGA-D1-A15Z-01	TCGA-D1-A15Z-01	11.92
TCGA-D1-A16J-01	TCGA-D1-A16J-01	11.92
TCGA-DC-6156-01	TCGA-DC-6156-01	11.92
TCGA-DG-A2KK-01	TCGA-DG-A2KK-01	11.92
TCGA-FI-A2F4-01	TCGA-FI-A2F4-01	11.92
TCGA-02-2483-01	TCGA-02-2483-01	11.91
TCGA-90-A4EE-01	TCGA-90-A4EE-01	11.91
TCGA-AN-A0FY-01	TCGA-AN-A0FY-01	11.91
TCGA-AX-A05Y-01	TCGA-AX-A05Y-01	11.91
TCGA-CV-6951-01	TCGA-CV-6951-01	11.91
TCGA-DM-A1DA-01	TCGA-DM-A1DA-01	11.91
TCGA-V4-A9EQ-01	TCGA-V4-A9EQ-01	11.91
TCGA-A5-A7WJ-01	TCGA-A5-A7WJ-01	11.9
TCGA-AA-A01P-01	TCGA-AA-A01P-01	11.9
TCGA-AA-A03J-01	TCGA-AA-A03J-01	11.9
TCGA-DX-A7ER-01	TCGA-DX-A7ER-01	11.9
TCGA-EB-A5KH-06	TCGA-EB-A5KH-06	11.9
TCGA-F1-6177-01	TCGA-F1-6177-01	11.9
TCGA-IG-A3Y9-01	TCGA-IG-A3Y9-01	11.9
TCGA-2F-A9KW-01	TCGA-2F-A9KW-01	11.89
TCGA-2G-AAM2-01	TCGA-2G-AAM2-01	11.89
TCGA-A5-A2K5-01	TCGA-A5-A2K5-01	11.89
TCGA-AA-A01V-01	TCGA-AA-A01V-01	11.89
TCGA-AF-6672-01	TCGA-AF-6672-01	11.89
TCGA-AJ-A3EJ-01	TCGA-AJ-A3EJ-01	11.89
TCGA-BG-A3EW-01	TCGA-BG-A3EW-01	11.89
TCGA-BS-A0U8-01	TCGA-BS-A0U8-01	11.89
TCGA-C5-A1M9-01	TCGA-C5-A1M9-01	11.89
TCGA-D1-A16N-01	TCGA-D1-A16N-01	11.89
TCGA-EI-6506-01	TCGA-EI-6506-01	11.89
TCGA-ER-A19O-06	TCGA-ER-A19O-06	11.89
TCGA-FI-A2CY-01	TCGA-FI-A2CY-01	11.89
TCGA-G4-6294-01	TCGA-G4-6294-01	11.89
TCGA-VF-A8A8-01	TCGA-VF-A8A8-01	11.89
TCGA-XM-A8RL-01	TCGA-XM-A8RL-01	11.89
TCGA-25-1321-01	TCGA-25-1321-01	11.88
TCGA-A5-A0GP-01	TCGA-A5-A0GP-01	11.88
TCGA-AJ-A3NC-01	TCGA-AJ-A3NC-01	11.88
TCGA-AX-A2HG-01	TCGA-AX-A2HG-01	11.88
TCGA-CL-4957-01	TCGA-CL-4957-01	11.88
TCGA-D1-A16B-01	TCGA-D1-A16B-01	11.88
TCGA-D1-A16X-01	TCGA-D1-A16X-01	11.88
TCGA-D1-A17C-01	TCGA-D1-A17C-01	11.88
TCGA-EB-A3HV-01	TCGA-EB-A3HV-01	11.88
TCGA-HD-7832-01	TCGA-HD-7832-01	11.88
TCGA-KU-A6H7-06	TCGA-KU-A6H7-06	11.88
TCGA-09-1667-01	TCGA-09-1667-01	11.87
TCGA-12-0821-01	TCGA-12-0821-01	11.87
TCGA-23-1809-01	TCGA-23-1809-01	11.87
TCGA-4V-A9QT-01	TCGA-4V-A9QT-01	11.87
TCGA-AA-3815-01	TCGA-AA-3815-01	11.87
TCGA-AA-A00Q-01	TCGA-AA-A00Q-01	11.87
