sample	samples	TP53 (average)
TCGA-61-2613-01	TCGA-61-2613-01	0.4121
TCGA-GN-A26D-06	TCGA-GN-A26D-06	0.4104
TCGA-BQ-5893-01	TCGA-BQ-5893-01	0.4094
TCGA-2Z-A9JP-01	TCGA-2Z-A9JP-01	0.408
TCGA-BP-4756-01	TCGA-BP-4756-01	0.4071000000000001
TCGA-EW-A3U0-01	TCGA-EW-A3U0-01	0.4069
TCGA-23-1114-01	TCGA-23-1114-01	0.4066
TCGA-2Z-A9JD-01	TCGA-2Z-A9JD-01	0.4063
TCGA-2Z-A9JQ-01	TCGA-2Z-A9JQ-01	0.4059
TCGA-B1-7332-01	TCGA-B1-7332-01	0.4053999999999999
TCGA-UZ-A9PR-01	TCGA-UZ-A9PR-01	0.40529999999999994
TCGA-EL-A3ZH-01	TCGA-EL-A3ZH-01	0.40499999999999997
TCGA-UB-A7MA-01	TCGA-UB-A7MA-01	0.4049
TCGA-DW-7840-01	TCGA-DW-7840-01	0.4047
TCGA-BQ-5892-01	TCGA-BQ-5892-01	0.4043
TCGA-A4-8515-01	TCGA-A4-8515-01	0.40260000000000007
TCGA-Y8-A8S0-01	TCGA-Y8-A8S0-01	0.4023
TCGA-X6-A8C6-01	TCGA-X6-A8C6-01	0.4021
TCGA-B6-A0WX-01	TCGA-B6-A0WX-01	0.4014
TCGA-UZ-A9PV-01	TCGA-UZ-A9PV-01	0.4003
TCGA-O9-A75Z-01	TCGA-O9-A75Z-01	0.3992
TCGA-2Z-A9J3-01	TCGA-2Z-A9J3-01	0.3991
TCGA-5P-A9JY-01	TCGA-5P-A9JY-01	0.397
TCGA-EV-5901-01	TCGA-EV-5901-01	0.39630000000000004
TCGA-2J-AABP-01	TCGA-2J-AABP-01	0.3949
TCGA-GL-6846-01	TCGA-GL-6846-01	0.3948
TCGA-DH-A669-01	TCGA-DH-A669-01	0.3935
TCGA-IA-A40Y-01	TCGA-IA-A40Y-01	0.3934
TCGA-A4-7734-01	TCGA-A4-7734-01	0.3932
TCGA-LN-A5U5-01	TCGA-LN-A5U5-01	0.3902
TCGA-AX-A2HK-01	TCGA-AX-A2HK-01	0.3901
TCGA-IF-A4AJ-01	TCGA-IF-A4AJ-01	0.3899
TCGA-AK-3453-01	TCGA-AK-3453-01	0.38710000000000006
TCGA-2Z-A9J6-01	TCGA-2Z-A9J6-01	0.3869000000000001
TCGA-5P-A9K4-01	TCGA-5P-A9K4-01	0.3864
TCGA-UZ-A9PU-01	TCGA-UZ-A9PU-01	0.3861
TCGA-B1-A47N-01	TCGA-B1-A47N-01	0.3842
TCGA-B9-5155-01	TCGA-B9-5155-01	0.3841
TCGA-ET-A25P-01	TCGA-ET-A25P-01	0.3831
TCGA-SX-A71R-01	TCGA-SX-A71R-01	0.3829
TCGA-AA-3968-01	TCGA-AA-3968-01	0.3826
