sample	samples	TP53 (average)
TCGA-99-8032-01	TCGA-99-8032-01	0.0716
TCGA-CD-5803-01	TCGA-CD-5803-01	0.0716
TCGA-KK-A6E0-01	TCGA-KK-A6E0-01	0.0716
TCGA-LN-A8I0-01	TCGA-LN-A8I0-01	0.0716
TCGA-06-2567-01	TCGA-06-2567-01	0.0715
TCGA-CN-4728-01	TCGA-CN-4728-01	0.0714
TCGA-S9-A6U5-01	TCGA-S9-A6U5-01	0.0714
TCGA-VR-A8EO-01	TCGA-VR-A8EO-01	0.0714
TCGA-CR-6493-01	TCGA-CR-6493-01	0.0712
TCGA-49-AAQV-01	TCGA-49-AAQV-01	0.0711
TCGA-DQ-7590-01	TCGA-DQ-7590-01	0.071
TCGA-FT-A61P-01	TCGA-FT-A61P-01	0.071
TCGA-HT-7690-01	TCGA-HT-7690-01	0.071
TCGA-W4-A7U3-01	TCGA-W4-A7U3-01	0.071
TCGA-2G-AAGX-01	TCGA-2G-AAGX-01	0.0709
TCGA-08-0359-01	TCGA-08-0359-01	0.0708
TCGA-DJ-A2Q2-01	TCGA-DJ-A2Q2-01	0.0707
TCGA-FG-5964-01	TCGA-FG-5964-01	0.0707
TCGA-KP-A3W3-01	TCGA-KP-A3W3-01	0.0706
TCGA-XE-AANR-01	TCGA-XE-AANR-01	0.0705
TCGA-FG-8187-01	TCGA-FG-8187-01	0.0704
TCGA-QH-A6X5-01	TCGA-QH-A6X5-01	0.0704
TCGA-06-A7TL-01	TCGA-06-A7TL-01	0.0703
TCGA-A2-A0YJ-01	TCGA-A2-A0YJ-01	0.0703
TCGA-C5-A1M6-01	TCGA-C5-A1M6-01	0.0701
TCGA-VQ-AA69-01	TCGA-VQ-AA69-01	0.0701
TCGA-CS-6670-01	TCGA-CS-6670-01	0.07
TCGA-HD-7917-01	TCGA-HD-7917-01	0.0699
TCGA-UF-A7J9-01	TCGA-UF-A7J9-01	0.0699
TCGA-14-1451-01	TCGA-14-1451-01	0.0698
TCGA-FP-8631-01	TCGA-FP-8631-01	0.0698
TCGA-HT-A617-01	TCGA-HT-A617-01	0.0697
TCGA-P8-A5KD-01	TCGA-P8-A5KD-01	0.0697
TCGA-EA-A411-01	TCGA-EA-A411-01	0.0694
TCGA-64-1677-01	TCGA-64-1677-01	0.0693
TCGA-GV-A3JX-01	TCGA-GV-A3JX-01	0.0693
TCGA-4Z-AA7O-01	TCGA-4Z-AA7O-01	0.0692
TCGA-B9-A69E-01	TCGA-B9-A69E-01	0.0692
TCGA-50-6673-01	TCGA-50-6673-01	0.0691
TCGA-B9-4116-01	TCGA-B9-4116-01	0.0691
TCGA-AK-3427-01	TCGA-AK-3427-01	0.069
TCGA-E2-A10A-01	TCGA-E2-A10A-01	0.069
TCGA-HD-7753-01	TCGA-HD-7753-01	0.069
TCGA-R8-A6MO-01	TCGA-R8-A6MO-01	0.069
TCGA-28-5213-01	TCGA-28-5213-01	0.0689
TCGA-HT-7605-01	TCGA-HT-7605-01	0.0688
TCGA-IF-A3RQ-01	TCGA-IF-A3RQ-01	0.0688
TCGA-ZP-A9D0-01	TCGA-ZP-A9D0-01	0.0688
TCGA-VV-A86M-01	TCGA-VV-A86M-01	0.0687
TCGA-51-4079-01	TCGA-51-4079-01	0.0685
TCGA-HM-A3JJ-01	TCGA-HM-A3JJ-01	0.0684
TCGA-92-7340-01	TCGA-92-7340-01	0.0683
TCGA-D8-A1XO-01	TCGA-D8-A1XO-01	0.0683
TCGA-QH-A6CY-01	TCGA-QH-A6CY-01	0.0683
TCGA-TQ-A7RQ-01	TCGA-TQ-A7RQ-01	0.0682
TCGA-13-0762-01	TCGA-13-0762-01	0.0681
TCGA-BP-4761-01	TCGA-BP-4761-01	0.068
TCGA-RW-A8AZ-01	TCGA-RW-A8AZ-01	0.068
TCGA-86-A4D0-01	TCGA-86-A4D0-01	0.0679
TCGA-EA-A3HR-01	TCGA-EA-A3HR-01	0.0679
TCGA-06-0129-01	TCGA-06-0129-01	0.0678
TCGA-DU-5855-01	TCGA-DU-5855-01	0.0678
TCGA-50-5066-02	TCGA-50-5066-02	0.0677
TCGA-56-8201-01	TCGA-56-8201-01	0.0677
TCGA-SP-A6QI-01	TCGA-SP-A6QI-01	0.0677
TCGA-08-0348-01	TCGA-08-0348-01	0.0675
TCGA-DU-7300-01	TCGA-DU-7300-01	0.0675
TCGA-EB-A44P-01	TCGA-EB-A44P-01	0.0674
TCGA-B6-A0RP-01	TCGA-B6-A0RP-01	0.0673
TCGA-UF-A7JK-01	TCGA-UF-A7JK-01	0.0673
TCGA-D1-A17K-01	TCGA-D1-A17K-01	0.0671
TCGA-S9-A6WH-01	TCGA-S9-A6WH-01	0.067
TCGA-VD-AA8N-01	TCGA-VD-AA8N-01	0.0669
TCGA-87-5896-01	TCGA-87-5896-01	0.0668
TCGA-E1-5319-01	TCGA-E1-5319-01	0.0667
TCGA-HT-8109-01	TCGA-HT-8109-01	0.0667
TCGA-BP-5183-01	TCGA-BP-5183-01	0.0666
TCGA-DB-A64Q-01	TCGA-DB-A64Q-01	0.0666
TCGA-C5-A7UE-01	TCGA-C5-A7UE-01	0.0665
TCGA-A8-A08I-01	TCGA-A8-A08I-01	0.0664
TCGA-S9-A89Z-01	TCGA-S9-A89Z-01	0.0664
TCGA-IN-A6RP-01	TCGA-IN-A6RP-01	0.0662
TCGA-QH-A6CU-01	TCGA-QH-A6CU-01	0.0661
TCGA-B6-A3ZX-01	TCGA-B6-A3ZX-01	0.066
TCGA-E1-5318-01	TCGA-E1-5318-01	0.066
TCGA-HM-A6W2-06	TCGA-HM-A6W2-06	0.066
TCGA-AG-A02G-01	TCGA-AG-A02G-01	0.0659
TCGA-E1-A7YH-01	TCGA-E1-A7YH-01	0.0659
TCGA-14-0867-01	TCGA-14-0867-01	0.0658
TCGA-32-1980-01	TCGA-32-1980-01	0.0658
TCGA-W2-A7HB-01	TCGA-W2-A7HB-01	0.0658
TCGA-DU-5872-01	TCGA-DU-5872-01	0.0657
TCGA-DX-AB2F-01	TCGA-DX-AB2F-01	0.0657
TCGA-DU-5849-01	TCGA-DU-5849-01	0.0656
TCGA-RW-A686-01	TCGA-RW-A686-01	0.0656
TCGA-HT-7681-01	TCGA-HT-7681-01	0.0655
TCGA-12-1095-01	TCGA-12-1095-01	0.0654
TCGA-DH-A7US-01	TCGA-DH-A7US-01	0.0654
TCGA-E1-5322-01	TCGA-E1-5322-01	0.0654
TCGA-16-1063-01	TCGA-16-1063-01	0.0653
TCGA-DB-5275-01	TCGA-DB-5275-01	0.0653
TCGA-V4-A9F8-01	TCGA-V4-A9F8-01	0.0653
TCGA-CN-A6UY-01	TCGA-CN-A6UY-01	0.0652
TCGA-FG-8186-01	TCGA-FG-8186-01	0.0652
TCGA-14-1395-01	TCGA-14-1395-01	0.0651
TCGA-56-7221-01	TCGA-56-7221-01	0.0651
TCGA-94-8035-01	TCGA-94-8035-01	0.065
TCGA-CN-5355-01	TCGA-CN-5355-01	0.065
TCGA-2H-A9GI-01	TCGA-2H-A9GI-01	0.0648
TCGA-BR-4369-01	TCGA-BR-4369-01	0.0648
TCGA-08-0246-01	TCGA-08-0246-01	0.0647
TCGA-CN-A6V7-01	TCGA-CN-A6V7-01	0.0647
TCGA-QK-AA3J-01	TCGA-QK-AA3J-01	0.0647
TCGA-32-4213-01	TCGA-32-4213-01	0.0646
TCGA-TS-A7P7-01	TCGA-TS-A7P7-01	0.0646
TCGA-24-2293-01	TCGA-24-2293-01	0.0645
TCGA-QH-A65X-01	TCGA-QH-A65X-01	0.0645
TCGA-CZ-5457-01	TCGA-CZ-5457-01	0.0644
TCGA-DB-5281-01	TCGA-DB-5281-01	0.0644
TCGA-B2-5641-01	TCGA-B2-5641-01	0.0643
TCGA-DK-A1AG-01	TCGA-DK-A1AG-01	0.0643
TCGA-MS-A51U-01	TCGA-MS-A51U-01	0.0643
TCGA-XK-AAJP-01	TCGA-XK-AAJP-01	0.0643
TCGA-CV-7103-01	TCGA-CV-7103-01	0.0641
TCGA-06-A6S0-01	TCGA-06-A6S0-01	0.064
TCGA-76-6193-01	TCGA-76-6193-01	0.0639
TCGA-CN-6994-01	TCGA-CN-6994-01	0.0639
TCGA-EB-A3XF-01	TCGA-EB-A3XF-01	0.0637
TCGA-WB-A816-01	TCGA-WB-A816-01	0.0637
TCGA-MQ-A6BQ-01	TCGA-MQ-A6BQ-01	0.0636
TCGA-19-5956-01	TCGA-19-5956-01	0.0633
TCGA-23-1032-01	TCGA-23-1032-01	0.0633
TCGA-BQ-5885-01	TCGA-BQ-5885-01	0.0633
TCGA-D3-A5GR-06	TCGA-D3-A5GR-06	0.0633
TCGA-KL-8326-01	TCGA-KL-8326-01	0.0633
TCGA-08-0525-01	TCGA-08-0525-01	0.0632
TCGA-BP-4327-01	TCGA-BP-4327-01	0.0632
TCGA-BQ-5877-01	TCGA-BQ-5877-01	0.0632
TCGA-S9-A89V-01	TCGA-S9-A89V-01	0.0632
TCGA-PJ-A5Z8-01	TCGA-PJ-A5Z8-01	0.0631
TCGA-QH-A65V-01	TCGA-QH-A65V-01	0.0631
TCGA-CR-7369-01	TCGA-CR-7369-01	0.063
TCGA-D7-A6EY-01	TCGA-D7-A6EY-01	0.0628
TCGA-B0-5703-01	TCGA-B0-5703-01	0.0627
TCGA-DU-5870-01	TCGA-DU-5870-01	0.0625
TCGA-06-0686-01	TCGA-06-0686-01	0.06239999999999999
TCGA-58-A46J-01	TCGA-58-A46J-01	0.0621
TCGA-EA-A556-01	TCGA-EA-A556-01	0.0621
TCGA-EE-A3JE-06	TCGA-EE-A3JE-06	0.0621
TCGA-OR-A5L3-01	TCGA-OR-A5L3-01	0.0621
TCGA-QT-A5XO-01	TCGA-QT-A5XO-01	0.062
TCGA-L5-A8NF-01	TCGA-L5-A8NF-01	0.0619
TCGA-V7-A7HQ-01	TCGA-V7-A7HQ-01	0.061799999999999994
TCGA-50-5939-01	TCGA-50-5939-01	0.0617
TCGA-CJ-4640-01	TCGA-CJ-4640-01	0.0617
TCGA-CN-6998-01	TCGA-CN-6998-01	0.0616
TCGA-S9-A7QY-01	TCGA-S9-A7QY-01	0.0614
TCGA-12-0620-01	TCGA-12-0620-01	0.0613
TCGA-QR-A6GT-01	TCGA-QR-A6GT-01	0.0613
TCGA-DD-A39X-01	TCGA-DD-A39X-01	0.0611
TCGA-HW-7487-01	TCGA-HW-7487-01	0.0611
TCGA-RP-A693-06	TCGA-RP-A693-06	0.0611
TCGA-02-0440-01	TCGA-02-0440-01	0.06099999999999999
TCGA-CV-7438-01	TCGA-CV-7438-01	0.06099999999999999
TCGA-DK-A1AA-01	TCGA-DK-A1AA-01	0.06099999999999999
TCGA-S7-A7X0-01	TCGA-S7-A7X0-01	0.06099999999999999
TCGA-VS-A9U5-01	TCGA-VS-A9U5-01	0.06099999999999999
TCGA-WC-A883-01	TCGA-WC-A883-01	0.06099999999999999
TCGA-CQ-7065-01	TCGA-CQ-7065-01	0.060700000000000004
TCGA-CR-7372-01	TCGA-CR-7372-01	0.0606
TCGA-DK-AA77-01	TCGA-DK-AA77-01	0.0606
TCGA-HW-7495-01	TCGA-HW-7495-01	0.0606
TCGA-OR-A5JI-01	TCGA-OR-A5JI-01	0.0606
TCGA-TM-A7CF-01	TCGA-TM-A7CF-01	0.0605
TCGA-AX-A1C9-01	TCGA-AX-A1C9-01	0.060399999999999995
TCGA-D3-A8GR-06	TCGA-D3-A8GR-06	0.0603
TCGA-EE-A17Z-06	TCGA-EE-A17Z-06	0.0603
TCGA-MQ-A4LM-01	TCGA-MQ-A4LM-01	0.0603
TCGA-2K-A9WE-01	TCGA-2K-A9WE-01	0.0602
TCGA-CS-4943-01	TCGA-CS-4943-01	0.0602
TCGA-CV-5441-01	TCGA-CV-5441-01	0.0602
TCGA-G2-A3IB-01	TCGA-G2-A3IB-01	0.06010000000000001
TCGA-KB-A6F7-01	TCGA-KB-A6F7-01	0.06010000000000001
TCGA-D5-6529-01	TCGA-D5-6529-01	0.06
TCGA-ZN-A9VV-01	TCGA-ZN-A9VV-01	0.06
TCGA-5C-A9VG-01	TCGA-5C-A9VG-01	0.0599
TCGA-06-0128-01	TCGA-06-0128-01	0.0598
TCGA-55-7283-01	TCGA-55-7283-01	0.0598
TCGA-76-6282-01	TCGA-76-6282-01	0.0598
TCGA-P8-A6RX-01	TCGA-P8-A6RX-01	0.0598
TCGA-2F-A9KQ-01	TCGA-2F-A9KQ-01	0.0596
TCGA-BR-8365-01	TCGA-BR-8365-01	0.0596
TCGA-HC-7736-01	TCGA-HC-7736-01	0.0596
TCGA-ZH-A8Y8-01	TCGA-ZH-A8Y8-01	0.0596
TCGA-DD-AADI-01	TCGA-DD-AADI-01	0.0594
TCGA-85-6561-01	TCGA-85-6561-01	0.0592
TCGA-WB-A819-01	TCGA-WB-A819-01	0.0592
TCGA-CZ-5463-01	TCGA-CZ-5463-01	0.0591
TCGA-02-0114-01	TCGA-02-0114-01	0.059
TCGA-55-6986-01	TCGA-55-6986-01	0.059
TCGA-FG-6689-01	TCGA-FG-6689-01	0.059
TCGA-D3-A2JK-06	TCGA-D3-A2JK-06	0.0589
TCGA-DS-A0VK-01	TCGA-DS-A0VK-01	0.0589
TCGA-B0-4698-01	TCGA-B0-4698-01	0.0588
TCGA-CR-7397-01	TCGA-CR-7397-01	0.0588
TCGA-5N-A9KI-01	TCGA-5N-A9KI-01	0.0586
TCGA-19-2619-01	TCGA-19-2619-01	0.0583
TCGA-67-3774-01	TCGA-67-3774-01	0.0583
TCGA-UZ-A9PN-01	TCGA-UZ-A9PN-01	0.0583
TCGA-FC-7961-01	TCGA-FC-7961-01	0.0582
TCGA-FE-A235-01	TCGA-FE-A235-01	0.0582
TCGA-02-0058-01	TCGA-02-0058-01	0.0581
TCGA-04-1332-01	TCGA-04-1332-01	0.0581
TCGA-HT-7620-01	TCGA-HT-7620-01	0.058
TCGA-E1-A7Z4-01	TCGA-E1-A7Z4-01	0.05789999999999999
TCGA-WC-A881-01	TCGA-WC-A881-01	0.0578
TCGA-ZJ-AAXN-01	TCGA-ZJ-AAXN-01	0.0577
TCGA-A3-3352-01	TCGA-A3-3352-01	0.0576
TCGA-D3-A2J7-06	TCGA-D3-A2J7-06	0.0576
TCGA-E1-A7YQ-01	TCGA-E1-A7YQ-01	0.0576
TCGA-13-1412-01	TCGA-13-1412-01	0.0575
TCGA-CF-A7I0-01	TCGA-CF-A7I0-01	0.0575
TCGA-CZ-5462-01	TCGA-CZ-5462-01	0.0574
TCGA-74-6581-01	TCGA-74-6581-01	0.057
TCGA-A5-A0VP-01	TCGA-A5-A0VP-01	0.057
TCGA-E1-A7YM-01	TCGA-E1-A7YM-01	0.057
TCGA-HW-7486-01	TCGA-HW-7486-01	0.057
TCGA-BP-4968-01	TCGA-BP-4968-01	0.0567
TCGA-CZ-4864-01	TCGA-CZ-4864-01	0.0567
TCGA-AK-3443-01	TCGA-AK-3443-01	0.0564
TCGA-CJ-5689-01	TCGA-CJ-5689-01	0.0564
TCGA-D6-A6ES-01	TCGA-D6-A6ES-01	0.0563
TCGA-02-0009-01	TCGA-02-0009-01	0.05620000000000001
TCGA-A3-3373-01	TCGA-A3-3373-01	0.05620000000000001
TCGA-P5-A5F0-01	TCGA-P5-A5F0-01	0.05620000000000001
TCGA-77-8156-01	TCGA-77-8156-01	0.0561
TCGA-DU-7012-01	TCGA-DU-7012-01	0.056
TCGA-WY-A85D-01	TCGA-WY-A85D-01	0.056
TCGA-CN-5365-01	TCGA-CN-5365-01	0.0559
TCGA-02-0003-01	TCGA-02-0003-01	0.0558
TCGA-CN-4729-01	TCGA-CN-4729-01	0.0558
TCGA-DA-A1I1-06	TCGA-DA-A1I1-06	0.0558
TCGA-DB-A75O-01	TCGA-DB-A75O-01	0.0558
TCGA-93-A4JP-01	TCGA-93-A4JP-01	0.0557
TCGA-DJ-A4UR-01	TCGA-DJ-A4UR-01	0.0557
TCGA-DU-7298-01	TCGA-DU-7298-01	0.0557
TCGA-14-1459-01	TCGA-14-1459-01	0.0556
TCGA-ED-A8O5-01	TCGA-ED-A8O5-01	0.0555
TCGA-HT-7858-01	TCGA-HT-7858-01	0.0555
TCGA-75-5146-01	TCGA-75-5146-01	0.0553
TCGA-IK-7675-01	TCGA-IK-7675-01	0.0553
TCGA-2A-A8W1-01	TCGA-2A-A8W1-01	0.0552
TCGA-62-8395-01	TCGA-62-8395-01	0.0552
TCGA-E2-A10E-01	TCGA-E2-A10E-01	0.0552
TCGA-EE-A3J4-06	TCGA-EE-A3J4-06	0.0552
TCGA-LG-A9QC-01	TCGA-LG-A9QC-01	0.055099999999999996
TCGA-B2-4098-01	TCGA-B2-4098-01	0.055
TCGA-BQ-5894-01	TCGA-BQ-5894-01	0.055
TCGA-S9-A6TX-01	TCGA-S9-A6TX-01	0.055
TCGA-06-0412-01	TCGA-06-0412-01	0.0549
TCGA-DU-6405-01	TCGA-DU-6405-01	0.05480000000000001
TCGA-S9-A6WQ-01	TCGA-S9-A6WQ-01	0.05480000000000001
TCGA-CV-A6JN-01	TCGA-CV-A6JN-01	0.0546
TCGA-FU-A770-01	TCGA-FU-A770-01	0.0546
TCGA-G9-6361-01	TCGA-G9-6361-01	0.0545
TCGA-S9-A7R7-01	TCGA-S9-A7R7-01	0.0545
TCGA-ZN-A9VW-01	TCGA-ZN-A9VW-01	0.0545
TCGA-39-5021-01	TCGA-39-5021-01	0.0544
TCGA-RW-A686-06	TCGA-RW-A686-06	0.0543
TCGA-77-6843-01	TCGA-77-6843-01	0.0542
TCGA-EJ-A65D-01	TCGA-EJ-A65D-01	0.0541
TCGA-DU-6408-01	TCGA-DU-6408-01	0.05399999999999999
TCGA-LN-A4MQ-01	TCGA-LN-A4MQ-01	0.05399999999999999
TCGA-HD-A6HZ-01	TCGA-HD-A6HZ-01	0.0539
TCGA-MM-A84U-01	TCGA-MM-A84U-01	0.0539
TCGA-33-4532-01	TCGA-33-4532-01	0.0538
TCGA-CR-6478-01	TCGA-CR-6478-01	0.0538
TCGA-HM-A6W2-01	TCGA-HM-A6W2-01	0.0538
TCGA-CR-6473-01	TCGA-CR-6473-01	0.0537
TCGA-02-0028-01	TCGA-02-0028-01	0.0536
TCGA-2G-AAG0-01	TCGA-2G-AAG0-01	0.0536
TCGA-06-0939-01	TCGA-06-0939-01	0.0535
TCGA-12-0776-01	TCGA-12-0776-01	0.0535
TCGA-CD-8532-01	TCGA-CD-8532-01	0.05340000000000001
TCGA-CV-6956-01	TCGA-CV-6956-01	0.0533
TCGA-GF-A2C7-01	TCGA-GF-A2C7-01	0.0533
TCGA-HT-7688-01	TCGA-HT-7688-01	0.0533
TCGA-TQ-A7RW-01	TCGA-TQ-A7RW-01	0.05319999999999999
TCGA-49-AAR3-01	TCGA-49-AAR3-01	0.0531
TCGA-BA-4076-01	TCGA-BA-4076-01	0.0531
TCGA-IN-A6RR-01	TCGA-IN-A6RR-01	0.0531
TCGA-WC-AA9E-01	TCGA-WC-AA9E-01	0.0531
TCGA-13-0764-01	TCGA-13-0764-01	0.053
TCGA-HT-7902-01	TCGA-HT-7902-01	0.053
TCGA-LT-A8JT-01	TCGA-LT-A8JT-01	0.053
TCGA-XF-A8HC-01	TCGA-XF-A8HC-01	0.053
TCGA-19-1389-01	TCGA-19-1389-01	0.0529
TCGA-2J-AABA-01	TCGA-2J-AABA-01	0.0529
TCGA-VP-A87J-01	TCGA-VP-A87J-01	0.0529
TCGA-02-0016-01	TCGA-02-0016-01	0.0528
TCGA-26-A7UX-01	TCGA-26-A7UX-01	0.0528
TCGA-B4-5377-01	TCGA-B4-5377-01	0.0528
TCGA-NC-A5HT-01	TCGA-NC-A5HT-01	0.0528
TCGA-E2-A15F-01	TCGA-E2-A15F-01	0.0527
TCGA-EE-A2MH-06	TCGA-EE-A2MH-06	0.0527
TCGA-MQ-A4LJ-01	TCGA-MQ-A4LJ-01	0.0527
TCGA-CV-7236-01	TCGA-CV-7236-01	0.052599999999999994
TCGA-EE-A2GS-06	TCGA-EE-A2GS-06	0.052599999999999994
TCGA-FD-A3SM-01	TCGA-FD-A3SM-01	0.052599999999999994
TCGA-HT-7857-01	TCGA-HT-7857-01	0.052599999999999994
TCGA-CJ-4878-01	TCGA-CJ-4878-01	0.0525
TCGA-55-6642-01	TCGA-55-6642-01	0.0524
TCGA-E2-A15R-01	TCGA-E2-A15R-01	0.0524
TCGA-LN-A49N-01	TCGA-LN-A49N-01	0.0522
TCGA-DD-AAVZ-01	TCGA-DD-AAVZ-01	0.0521
TCGA-06-0168-01	TCGA-06-0168-01	0.052
TCGA-B0-5701-01	TCGA-B0-5701-01	0.0519
TCGA-BP-4965-01	TCGA-BP-4965-01	0.0519
TCGA-CN-A499-01	TCGA-CN-A499-01	0.0519
TCGA-DU-6396-01	TCGA-DU-6396-01	0.0519
TCGA-02-0083-01	TCGA-02-0083-01	0.0518
TCGA-02-0330-01	TCGA-02-0330-01	0.0518
TCGA-ET-A2MZ-01	TCGA-ET-A2MZ-01	0.0518
TCGA-D7-8574-01	TCGA-D7-8574-01	0.0517
TCGA-ZG-A9KY-01	TCGA-ZG-A9KY-01	0.0517
TCGA-EX-A1H6-01	TCGA-EX-A1H6-01	0.0516
TCGA-A4-A7UZ-01	TCGA-A4-A7UZ-01	0.051500000000000004
TCGA-RW-A684-01	TCGA-RW-A684-01	0.051500000000000004
TCGA-91-6830-01	TCGA-91-6830-01	0.0514
TCGA-97-8174-01	TCGA-97-8174-01	0.0514
TCGA-DQ-5631-01	TCGA-DQ-5631-01	0.0514
TCGA-OL-A66J-01	TCGA-OL-A66J-01	0.0514
TCGA-06-0208-01	TCGA-06-0208-01	0.0513
TCGA-14-1402-02	TCGA-14-1402-02	0.051199999999999996
TCGA-V4-A9EL-01	TCGA-V4-A9EL-01	0.051199999999999996
TCGA-05-4422-01	TCGA-05-4422-01	0.0511
TCGA-AA-3531-01	TCGA-AA-3531-01	0.0511
TCGA-BP-5169-01	TCGA-BP-5169-01	0.0511
TCGA-IR-A3LF-01	TCGA-IR-A3LF-01	0.051
TCGA-S3-AA14-01	TCGA-S3-AA14-01	0.051
TCGA-EE-A2GE-06	TCGA-EE-A2GE-06	0.05090000000000001
TCGA-HW-8320-01	TCGA-HW-8320-01	0.05090000000000001
TCGA-YU-AA61-01	TCGA-YU-AA61-01	0.0508
TCGA-27-1837-01	TCGA-27-1837-01	0.0507
TCGA-QR-A6H3-01	TCGA-QR-A6H3-01	0.0506
TCGA-CR-5243-01	TCGA-CR-5243-01	0.0505
TCGA-EB-A3XE-01	TCGA-EB-A3XE-01	0.0505
TCGA-KK-A6E5-01	TCGA-KK-A6E5-01	0.0505
TCGA-VD-A8KA-01	TCGA-VD-A8KA-01	0.0505
TCGA-06-0140-01	TCGA-06-0140-01	0.0504
TCGA-D9-A3Z4-01	TCGA-D9-A3Z4-01	0.0504
TCGA-ET-A25O-01	TCGA-ET-A25O-01	0.0504
TCGA-FU-A3WB-01	TCGA-FU-A3WB-01	0.0504
TCGA-S9-A6TU-01	TCGA-S9-A6TU-01	0.0504
TCGA-FU-A3HY-01	TCGA-FU-A3HY-01	0.0503
TCGA-50-5072-01	TCGA-50-5072-01	0.0502
TCGA-97-A4M3-01	TCGA-97-A4M3-01	0.0502
TCGA-KK-A8I5-01	TCGA-KK-A8I5-01	0.0502
TCGA-TM-A84B-01	TCGA-TM-A84B-01	0.0502
TCGA-BC-A10S-01	TCGA-BC-A10S-01	0.05009999999999999
TCGA-V4-A9F0-01	TCGA-V4-A9F0-01	0.05009999999999999
TCGA-CJ-6033-01	TCGA-CJ-6033-01	0.05
TCGA-QR-A6H6-01	TCGA-QR-A6H6-01	0.0499
TCGA-DB-A64V-01	TCGA-DB-A64V-01	0.0498
TCGA-AK-3458-01	TCGA-AK-3458-01	0.0497
TCGA-28-1755-01	TCGA-28-1755-01	0.0496
TCGA-TQ-A7RF-01	TCGA-TQ-A7RF-01	0.0496
TCGA-06-0124-01	TCGA-06-0124-01	0.04950000000000001
TCGA-CW-5580-01	TCGA-CW-5580-01	0.04950000000000001
TCGA-GU-A766-01	TCGA-GU-A766-01	0.04950000000000001
TCGA-IQ-7632-01	TCGA-IQ-7632-01	0.04950000000000001
TCGA-WB-A81H-01	TCGA-WB-A81H-01	0.0494
TCGA-60-2724-01	TCGA-60-2724-01	0.04929999999999999
TCGA-BA-6873-01	TCGA-BA-6873-01	0.04929999999999999
TCGA-DH-5142-01	TCGA-DH-5142-01	0.04929999999999999
TCGA-FY-A3W9-01	TCGA-FY-A3W9-01	0.04929999999999999
TCGA-HT-7877-01	TCGA-HT-7877-01	0.04929999999999999
TCGA-08-0392-01	TCGA-08-0392-01	0.0492
TCGA-33-4589-01	TCGA-33-4589-01	0.0492
TCGA-B0-4843-01	TCGA-B0-4843-01	0.0492
TCGA-HT-8010-01	TCGA-HT-8010-01	0.0492
TCGA-ZF-A9R2-01	TCGA-ZF-A9R2-01	0.0492
TCGA-D6-A6EO-01	TCGA-D6-A6EO-01	0.0491
TCGA-UF-A7JC-01	TCGA-UF-A7JC-01	0.049
TCGA-2G-AAEW-01	TCGA-2G-AAEW-01	0.0489
TCGA-EY-A2OO-01	TCGA-EY-A2OO-01	0.0488
TCGA-ZJ-AAX4-01	TCGA-ZJ-AAX4-01	0.04869999999999999
TCGA-06-0210-01	TCGA-06-0210-01	0.0486
TCGA-EW-A2FW-01	TCGA-EW-A2FW-01	0.0485
TCGA-A3-3317-01	TCGA-A3-3317-01	0.0483
TCGA-IG-A51D-01	TCGA-IG-A51D-01	0.0483
TCGA-MY-A5BF-01	TCGA-MY-A5BF-01	0.0483
TCGA-06-0750-01	TCGA-06-0750-01	0.0482
TCGA-44-A47G-01	TCGA-44-A47G-01	0.0482
TCGA-BP-5189-01	TCGA-BP-5189-01	0.0482
TCGA-D9-A149-06	TCGA-D9-A149-06	0.0482
TCGA-DD-AA3A-01	TCGA-DD-AA3A-01	0.0482
TCGA-DD-AAVS-01	TCGA-DD-AAVS-01	0.0482
TCGA-WE-A8ZO-06	TCGA-WE-A8ZO-06	0.0482
TCGA-BB-A6UM-01	TCGA-BB-A6UM-01	0.0481
TCGA-CJ-4637-01	TCGA-CJ-4637-01	0.0481
TCGA-02-0026-01	TCGA-02-0026-01	0.048
TCGA-28-5208-01	TCGA-28-5208-01	0.048
TCGA-49-4514-01	TCGA-49-4514-01	0.048
TCGA-VS-A9V5-01	TCGA-VS-A9V5-01	0.048
TCGA-Z6-A9VB-01	TCGA-Z6-A9VB-01	0.048
TCGA-06-1800-01	TCGA-06-1800-01	0.0479
TCGA-3H-AB3K-01	TCGA-3H-AB3K-01	0.0479
TCGA-60-2709-01	TCGA-60-2709-01	0.0479
TCGA-A7-A3IZ-01	TCGA-A7-A3IZ-01	0.0479
TCGA-B0-4837-01	TCGA-B0-4837-01	0.0479
TCGA-RW-A680-01	TCGA-RW-A680-01	0.0479
TCGA-VS-A9U7-01	TCGA-VS-A9U7-01	0.0479
TCGA-06-0158-01	TCGA-06-0158-01	0.0478
TCGA-EB-A550-01	TCGA-EB-A550-01	0.0478
TCGA-CS-5397-01	TCGA-CS-5397-01	0.0477
TCGA-14-1450-01	TCGA-14-1450-01	0.0476
TCGA-HD-A633-01	TCGA-HD-A633-01	0.0476
TCGA-X6-A8C7-01	TCGA-X6-A8C7-01	0.0476
TCGA-18-4086-01	TCGA-18-4086-01	0.0475
TCGA-CV-7091-01	TCGA-CV-7091-01	0.0475
TCGA-FS-A1ZG-06	TCGA-FS-A1ZG-06	0.0475
TCGA-EB-A85I-01	TCGA-EB-A85I-01	0.0474
TCGA-FP-7998-01	TCGA-FP-7998-01	0.047299999999999995
TCGA-06-A7TK-01	TCGA-06-A7TK-01	0.04700000000000001
